Device_id,Model Name,Model ID,Fusion Op,Original Ops,Memory Input(KB),Memory Output(KB),Memory Weight(KB),Memory Workspace(KB),Memory Total(KB)
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/m.0/m/m.1/cv1/conv/Conv/model.8/m.0/m/m.1/cv1/act/Sigmoid/model.8/m.0/m/m.1/cv1/act/Mul,/model.8/m.0/m/m.1/cv1/conv/Conv;/model.8/m.0/m/m.1/cv1/act/Sigmoid;/model.8/m.0/m/m.1/cv1/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/m.0/m/m.1/cv2/conv/Conv/model.8/m.0/m/m.1/cv2/act/Sigmoid/model.8/m.0/m/m.1/cv2/act/Mul,/model.8/m.0/m/m.1/cv2/conv/Conv;/model.8/m.0/m/m.1/cv2/act/Sigmoid;/model.8/m.0/m/m.1/cv2/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/m.0/cv2/conv/Conv/model.8/m.0/cv2/act/Sigmoid/model.8/m.0/cv2/act/Mul,/model.8/m.0/cv2/conv/Conv;/model.8/m.0/cv2/act/Sigmoid;/model.8/m.0/cv2/act/Mul,116.21875,50.03125,16.1875,0.0,182.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/m.0/cv3/conv/Conv/model.8/m.0/cv3/act/Sigmoid/model.8/m.0/cv3/act/Mul,/model.8/m.0/cv3/conv/Conv;/model.8/m.0/cv3/act/Sigmoid;/model.8/m.0/cv3/act/Mul,132.34375,100.03125,32.3125,0.0,264.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.8/cv2/conv/Conv/model.8/cv2/act/Sigmoid/model.8/cv2/act/Mul,/model.8/cv2/conv/Conv;/model.8/cv2/act/Sigmoid;/model.8/cv2/act/Mul,492.59375,200.03125,192.5625,0.0,885.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.9/cv1/conv/Conv/model.9/cv1/act/Sigmoid/model.9/cv1/act/Mul,/model.9/cv1/conv/Conv;/model.9/cv1/act/Sigmoid;/model.9/cv1/act/Mul,264.34375,100.03125,64.3125,0.0,428.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.9/m/MaxPool,/model.9/m/MaxPool,100.03125,100.03125,0.0,0.0,200.0625
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.9/m_1/MaxPool,/model.9/m_1/MaxPool,100.03125,100.03125,0.0,0.0,200.0625
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.9/m_2/MaxPool,/model.9/m_2/MaxPool,100.03125,100.03125,0.0,0.0,200.0625
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.9/cv2/conv/Conv/model.9/cv2/act/Sigmoid/model.9/cv2/act/Mul,/model.9/cv2/conv/Conv;/model.9/cv2/act/Sigmoid;/model.9/cv2/act/Mul,656.59375,200.03125,256.5625,0.0,1113.1875
